nn;nm;vid;ob;up
224;-плата за ведение ссудного счета;Не используется;0;?
175;гашение платы за резервирование;Гашение;Комиссия;?
1093;выборка средств, невыбранных вовремя;Не используется;0;?
12;перенос просроченного основного долга из другого договора при переводе долга;Не используется;0;?
1784;гашение платы за резервирование кюл;Гашение;Комиссия;?
83;иаск. квитовка платы за резервирование ресурса;Не используется;0;?
1;!не выбирать!;Не используется;0;U
344;-неустойка за просрочку платы за ведение ссудного счета;Не используется;0;?
1;вынос перенесенной в срочную просроченной платы за ведение ссудного счета;Не используется;0;?
166;учет процентов-отложенных на внебалансе;Не используется;0;?
179;-ссудная задолженность;Гашение;Основной долг;U
235;-госпошлина;Не используется;0;?
34;квитовка. гашение неустойки присужденной к получению;Не используется;0;?
18;гашение неустойки за пр.кредит, признанной в дату реструктуризации;Гашение;Пени;?
181;гашение пени за просрочку платы за пользование открытым лимитом;Гашение;Пени;?
3;перенос учтенных процентов из другого договора при изменении валюты кредита;Не используется;0;?
4;продажа. реализация прав требований;Не используется;0;?
188;гашение неустойки по плате за обслуживание кредита (в абсолютном выражении);Гашение;Пени;?
10;пени за несвоевременное исполнение условий кр.дог. в части обеспечения;Не используется;0;?
9816;вынос задолженности по процентам (внебаланс);Не используется;0;?
8728;начисление к возврату излишне уплаченной суммы;Не используется;0;?
125;списание неустойки, присужденной к получению за счет резерва;Списание;Пени;?
1;списание фикс в дату реструктур просроч платы за ведение ссудного счета за счет резерва;Не используется;0;U
3916;уменьшение/восстановление рвп по просроченным %%;Не используется;0;?
189;гашение платы за проверку залога;Гашение;Комиссия;?
5;отказ банка от неустойки за просрочку кредита;Не используется;0;?
1;перенос просроченной ссудной задолженности в отдельный график погашения;Не используется;0;?
5;перенос просроченной платы за использование лимита в срочную;Не используется;0;?
2;перенос учтенных процентов на в/б в другой договор при переводе долга;Не используется;0;?
22;перенос проср. процентов на бал. учет по договору;Не используется;0;?
19;гашение неустойки за неисполнение обязательств по страхованию;Гашение;Пени;?
19;гашение неустойки по плате за выдачу кредита/открытие кредитной линии;Гашение;Пени;?
72;учет процентов за пр. кредит на внебалансе(112);Не используется;0;?
43;+плата за обслуживание кредита (фиксированная сумма);Не используется;0;?
19;гашение неучтенной просроченной платы за обслуживание кредита (фиксированная сумма);Гашение;Комиссия;?
1927;плата за открытие кредитной линии;Гашение;Комиссия;?
236;+просроченная плата за ведение ссудного счета;Не используется;0;?
2;гашение учтенная плата за неполное исполнение условий (имущ.);Гашение;Комиссия;?
2;фиксация просроченных процентов на внебалансе в дату реструктуризации;Не используется;0;?
14;перенос кредита в текущий транш из другого транша при пролонгации;Не используется;0;?
633;уменьшение резерва по требованиям по комиссионным доходам;Не используется;0;?
40;списание процентов, присужденных к получению, за счет резерва;Списание;Проценты;?
573;учет неустойки по кредиту присужденной к получению;Не используется;0;?
2;гашение пени за открытие кредитной линии;Гашение;Пени;?
4;+проценты на просроченный кредит (112);Не используется;0;?
9;перенос просроченной платы за пользование лимитом в присужденную к получению;Не используется;0;?
2;плата за неполное исполнение условий (обесп.);Гашение;Комиссия;?
2;плата за управление;Гашение;Комиссия;?
8;перенос просроченной платы за обслуж-е кредита в другой договор при переводе долга;Не используется;0;?
2;гашение неустойки по плате за рассмотрение кредитной заявки;Не используется;0;U
317;вынос на просрочку платы за обслуживание кредита без учета;Не используется;0;?
2;комиссия за неполное исполнение условий кред догов;Гашение;Комиссия;?
17;пустая;Не используется;0;?
2;списание неполученных учтенных % на в/б;Списание;Проценты;?
10;импорт: уменьшение платы за пользование лимитом;Не используется;0;?
2;гашение пени по проц. договора;Гашение;Пени;?
2;плата за ведение ссудного счета ну;Гашение;Комиссия;?
