BO_ID;FEATURE_ID;MIN;MAX;categorial
545;PD;0.0091;0.01725;
545;LGD;0;1;
545;CURRENCY;;;RUR
545;PRODUCT;;;1-M813EC
545;CREDIT_MODE;;;Credit Contract
545;CREDIT_INSTRUMENT;;;Credit
545;TARGET_GR;;;01
546;DUR;12.0;18.0;
546;EXP;0.16;0.17;
546;AVP;0.0;0.01;
546;PRIV;0.0;0.25;
546;BALLOON;0.0;0.25;
546;PD;0.0048;0.0091;
546;LGD;0;1;
546;CURRENCY;;;RUR
546;PRODUCT;;;1-M813EC
546;CREDIT_MODE;;;Credit Contract
546;CREDIT_INSTRUMENT;;;Credit
546;TARGET_GR;;;01
547;DUR;12.0;18.0;
547;EXP;0.17;0.18;
547;AVP;0.0;0.01;
547;PRIV;0.25;0.5;
547;BALLOON;0.25;0.5;
547;PD;0.0;0.0048;
547;LGD;0;1;
547;CURRENCY;;;RUR
547;PRODUCT;;;1-M813EC
547;CREDIT_MODE;;;Credit Contract
547;CREDIT_INSTRUMENT;;;Credit
547;TARGET_GR;;;01
548;DUR;12.0;18.0;
548;EXP;0.12;0.13;
548;AVP;0.0;0.01;
548;PRIV;0.25;0.5;
548;BALLOON;0.25;0.5;
548;PD;0.0048;0.0091;
548;LGD;0;1;
548;CURRENCY;;;RUR
548;PRODUCT;;;1-M813EC
548;CREDIT_MODE;;;Credit Contract
548;CREDIT_INSTRUMENT;;;Credit
548;TARGET_GR;;;01
549;DUR;12.0;18.0;
549;EXP;0.13;0.14;
549;AVP;0.0;0.01;
549;PRIV;0.0;0.25;
549;BALLOON;0.0;0.25;
549;PD;0.0091;0.01725;
549;LGD;0;1;
549;CURRENCY;;;RUR
549;PRODUCT;;;1-M813EC
549;CREDIT_MODE;;;Credit Contract
549;CREDIT_INSTRUMENT;;;Credit
549;TARGET_GR;;;01
550;DUR;12.0;18.0;
550;EXP;0.07;0.08;
550;AVP;0.0;0.01;
550;PRIV;0.5;0.75;
550;BALLOON;0.5;0.75;
550;PD;0.0048;0.0091;
550;LGD;0;1;
550;CURRENCY;;;RUR
550;PRODUCT;;;1-M813EC
550;CREDIT_MODE;;;Credit Contract
550;CREDIT_INSTRUMENT;;;Credit
550;TARGET_GR;;;01
551;DUR;12.0;18.0;
551;EXP;0.08;0.09;
551;AVP;0.0;0.01;
551;PRIV;0.75;1.0;
551;BALLOON;0.75;1.0;
551;PD;0.0;0.0048;
551;LGD;0;1;
551;CURRENCY;;;RUR
551;PRODUCT;;;1-M813EC
551;CREDIT_MODE;;;Credit Contract
551;CREDIT_INSTRUMENT;;;Credit
551;TARGET_GR;;;01
552;DUR;12.0;18.0;
552;EXP;0.03;0.04;
552;AVP;0.0;0.01;
552;PRIV;0.75;1.0;
552;BALLOON;0.75;1.0;
552;PD;0.0048;0.0091;
552;LGD;0;1;
552;CURRENCY;;;RUR
552;PRODUCT;;;1-M813EC
552;CREDIT_MODE;;;Credit Contract
552;CREDIT_INSTRUMENT;;;Credit
552;TARGET_GR;;;01
553;DUR;12.0;18.0;
553;EXP;0.07;0.08;
553;AVP;0.0;0.01;
553;PRIV;0.25;0.5;
553;BALLOON;0.25;0.5;
553;PD;0.0091;0.01725;
553;LGD;0;1;
553;CURRENCY;;;RUR
553;PRODUCT;;;1-M813EC
553;CREDIT_MODE;;;Credit Contract
553;CREDIT_INSTRUMENT;;;Credit
553;TARGET_GR;;;01
556;DUR;12.0;18.0;
556;EXP;0.22;0.23;
556;AVP;0.0;0.01;
556;PRIV;0.0;0.25;
556;BALLOON;0.0;0.25;
556;PD;0.0;0.0048;
556;LGD;0;1;
556;CURRENCY;;;RUR
556;PRODUCT;;;1-M813EC
556;CREDIT_MODE;;;Credit Contract
556;CREDIT_INSTRUMENT;;;Credit
556;TARGET_GR;;;01
557;DUR;12.0;18.0;
557;EXP;0.18;0.19;
557;AVP;0.0;0.01;
557;PRIV;0.25;0.5;
557;BALLOON;0.25;0.5;
557;PD;0.0;0.0048;
557;LGD;0;1;
557;CURRENCY;;;RUR
557;PRODUCT;;;1-M813EC
557;CREDIT_MODE;;;Credit Contract
557;CREDIT_INSTRUMENT;;;Credit
557;TARGET_GR;;;01
558;DUR;12.0;18.0;
558;EXP;0.17;0.18;
558;AVP;0.0;0.01;
558;PRIV;0.0;0.25;
558;BALLOON;0.0;0.25;
558;PD;0.0048;0.0091;
558;LGD;0;1;
558;CURRENCY;;;RUR
558;PRODUCT;;;1-M813EC
558;CREDIT_MODE;;;Credit Contract
558;CREDIT_INSTRUMENT;;;Credit
558;TARGET_GR;;;01
560;DUR;12.0;18.0;
560;EXP;0.11;0.12;
560;AVP;0.0;0.01;
560;PRIV;0.25;0.5;
560;BALLOON;0.25;0.5;
560;PD;0.0091;0.01725;
560;LGD;0;1;
560;CURRENCY;;;RUR
560;PRODUCT;;;1-M813EC
560;CREDIT_MODE;;;Credit Contract
560;CREDIT_INSTRUMENT;;;Credit
560;TARGET_GR;;;01
561;DUR;12.0;18.0;
561;EXP;0.05;0.06;
561;AVP;0.0;0.01;
561;PRIV;0.75;1.0;
561;BALLOON;0.75;1.0;
561;PD;0.0048;0.0091;
561;LGD;0;1;
561;CURRENCY;;;RUR
561;PRODUCT;;;1-M813EC
561;CREDIT_MODE;;;Credit Contract
561;CREDIT_INSTRUMENT;;;Credit
561;TARGET_GR;;;01
562;DUR;12.0;18.0;
562;EXP;0.16;0.17;
562;AVP;0.0;0.01;
562;PRIV;0.0;0.25;
562;BALLOON;0.0;0.25;
562;PD;0.0091;0.01725;
562;LGD;0;1;
562;CURRENCY;;;RUR
562;PRODUCT;;;1-M813EC
562;CREDIT_MODE;;;Credit Contract
562;CREDIT_INSTRUMENT;;;Credit
562;TARGET_GR;;;01
563;DUR;12.0;18.0;
563;EXP;0.13;0.14;
563;AVP;0.0;0.01;
563;PRIV;0.5;0.75;
563;BALLOON;0.5;0.75;
563;PD;0.0048;0.0091;
563;LGD;0;1;
563;CURRENCY;;;RUR
563;PRODUCT;;;1-M813EC
563;CREDIT_MODE;;;Credit Contract
563;CREDIT_INSTRUMENT;;;Credit
563;TARGET_GR;;;01
564;DUR;12.0;18.0;
564;EXP;0.22;0.23;
564;AVP;0.0;0.01;
564;PRIV;0.0;0.25;
564;BALLOON;0.0;0.25;
564;PD;0.0048;0.0091;
564;LGD;0;1;
564;CURRENCY;;;RUR
564;PRODUCT;;;1-M813EC
564;CREDIT_MODE;;;Credit Contract
564;CREDIT_INSTRUMENT;;;Credit
564;TARGET_GR;;;01
565;DUR;12.0;18.0;
565;EXP;0.19;0.2;
565;AVP;0.0;0.01;
565;PRIV;0.5;0.75;
565;BALLOON;0.5;0.75;
565;PD;0.0;0.0048;
565;LGD;0;1;
565;CURRENCY;;;RUR
565;PRODUCT;;;1-M813EC
565;CREDIT_MODE;;;Credit Contract
565;CREDIT_INSTRUMENT;;;Credit
565;TARGET_GR;;;01
568;DUR;12.0;18.0;
568;EXP;0.14;0.15;
568;AVP;0.0;0.01;
568;PRIV;0.75;1.0;
568;BALLOON;0.75;1.0;
568;PD;0.0;0.0048;
568;LGD;0;1;
568;CURRENCY;;;RUR
568;PRODUCT;;;1-M813EC
568;CREDIT_MODE;;;Credit Contract
568;CREDIT_INSTRUMENT;;;Credit
568;TARGET_GR;;;01
570;DUR;12.0;18.0;
570;EXP;0.18;0.19;
570;AVP;0.0;0.01;
570;PRIV;0.25;0.5;
570;BALLOON;0.25;0.5;
570;PD;0.0048;0.0091;
570;LGD;0;1;
570;CURRENCY;;;RUR
570;PRODUCT;;;1-M813EC
570;CREDIT_MODE;;;Credit Contract
570;CREDIT_INSTRUMENT;;;Credit
570;TARGET_GR;;;01
572;DUR;12.0;18.0;
572;EXP;0.03;0.04;
572;AVP;0.0;0.01;
572;PRIV;0.75;1.0;
572;BALLOON;0.75;1.0;
572;PD;0.0091;0.01725;
572;LGD;0;1;
572;CURRENCY;;;RUR
572;PRODUCT;;;1-M813EC
572;CREDIT_MODE;;;Credit Contract
572;CREDIT_INSTRUMENT;;;Credit
572;TARGET_GR;;;01
573;DUR;12.0;18.0;
573;EXP;0.09;0.1;
573;AVP;0.0;0.01;
573;PRIV;0.5;0.75;
573;BALLOON;0.5;0.75;
573;PD;0.0091;0.01725;
573;LGD;0;1;
573;CURRENCY;;;RUR
573;PRODUCT;;;1-M813EC
573;CREDIT_MODE;;;Credit Contract
573;CREDIT_INSTRUMENT;;;Credit
573;TARGET_GR;;;01
574;DUR;12.0;18.0;
574;EXP;0.14;0.15;
574;AVP;0.0;0.01;
574;PRIV;0.25;0.5;
574;BALLOON;0.25;0.5;
574;PD;0.0091;0.01725;
574;LGD;0;1;
574;CURRENCY;;;RUR
574;PRODUCT;;;1-M813EC
574;CREDIT_MODE;;;Credit Contract
574;CREDIT_INSTRUMENT;;;Credit
574;TARGET_GR;;;01
575;DUR;12.0;18.0;
575;EXP;0.2;0.21;
575;AVP;0.0;0.01;
575;PRIV;0.0;0.25;
575;BALLOON;0.0;0.25;
575;PD;0.0091;0.01725;
575;LGD;0;1;
575;CURRENCY;;;RUR
575;PRODUCT;;;1-M813EC
575;CREDIT_MODE;;;Credit Contract
575;CREDIT_INSTRUMENT;;;Credit
575;TARGET_GR;;;01
577;DUR;12.0;18.0;
577;EXP;0.08;0.09;
577;AVP;0.0;0.01;
577;PRIV;0.75;1.0;
577;BALLOON;0.75;1.0;
577;PD;0.0048;0.0091;
577;LGD;0;1;
577;CURRENCY;;;RUR
577;PRODUCT;;;1-M813EC
577;CREDIT_MODE;;;Credit Contract
577;CREDIT_INSTRUMENT;;;Credit
577;TARGET_GR;;;01
578;DUR;12.0;18.0;
578;EXP;0.2;0.21;
578;AVP;0.0;0.01;
578;PRIV;0.5;0.75;
578;BALLOON;0.5;0.75;
578;PD;0.0;0.0048;
578;LGD;0;1;
578;CURRENCY;;;RUR
578;PRODUCT;;;1-M813EC
578;CREDIT_MODE;;;Credit Contract
578;CREDIT_INSTRUMENT;;;Credit
578;TARGET_GR;;;01
579;DUR;12.0;18.0;
579;EXP;0.21;0.22;
579;AVP;0.0;0.01;
579;PRIV;0.25;0.5;
579;BALLOON;0.25;0.5;
579;PD;0.0;0.0048;
579;LGD;0;1;
579;CURRENCY;;;RUR
579;PRODUCT;;;1-M813EC
579;CREDIT_MODE;;;Credit Contract
579;CREDIT_INSTRUMENT;;;Credit
579;TARGET_GR;;;01
580;DUR;12.0;18.0;
580;EXP;0.1;0.11;
580;AVP;0.0;0.01;
580;PRIV;0.5;0.75;
580;BALLOON;0.5;0.75;
580;PD;0.0091;0.01725;
580;LGD;0;1;
580;CURRENCY;;;RUR
580;PRODUCT;;;1-M813EC
580;CREDIT_MODE;;;Credit Contract
580;CREDIT_INSTRUMENT;;;Credit
580;TARGET_GR;;;01
581;DUR;12.0;18.0;
581;EXP;0.14;0.15;
581;AVP;0.0;0.01;
581;PRIV;0.5;0.75;
581;BALLOON;0.5;0.75;
581;PD;0.0048;0.0091;
581;LGD;0;1;
581;CURRENCY;;;RUR
581;PRODUCT;;;1-M813EC
581;CREDIT_MODE;;;Credit Contract
581;CREDIT_INSTRUMENT;;;Credit
581;TARGET_GR;;;01
582;DUR;12.0;18.0;
582;EXP;0.19;0.2;
582;AVP;0.0;0.01;
582;PRIV;0.25;0.5;
582;BALLOON;0.25;0.5;
582;PD;0.0048;0.0091;
582;LGD;0;1;
582;CURRENCY;;;RUR
582;PRODUCT;;;1-M813EC
582;CREDIT_MODE;;;Credit Contract
582;CREDIT_INSTRUMENT;;;Credit
582;TARGET_GR;;;01
585;DUR;12.0;18.0;
585;EXP;0.09;0.1;
585;AVP;0.0;0.01;
585;PRIV;0.75;1.0;
585;BALLOON;0.75;1.0;
585;PD;0.0048;0.0091;
585;LGD;0;1;
585;CURRENCY;;;RUR
