BO_ID;CLUST_ID;BO_QUALITY
1186;CORP_CRED;0.0019
1187;CORP_CRED;0.0003
1188;CORP_CRED;0.0003
1189;CORP_CRED;0.0005
1190;CORP_CRED;0.0
1191;CORP_CRED;0.0
1192;CORP_CRED;0.0033
1193;CORP_CRED;0.0003
1194;CORP_CRED;0.003
1195;CORP_CRED;0.0027
1196;CORP_CRED;0.0
1197;CORP_CRED;0.0011
1198;CORP_CRED;0.0
1199;CORP_CRED;0.0
1200;CORP_CRED;0.0
1201;CORP_CRED;0.0
1202;CORP_CRED;0.0
1203;CORP_CRED;0.0016
1204;CORP_CRED;0.0003
1205;CORP_CRED;0.0005
1206;CORP_CRED;0.0003
1207;CORP_CRED;0.0
1208;CORP_CRED;0.0
1209;CORP_CRED;0.0003
1210;CORP_CRED;0.0005
1211;CORP_CRED;0.0279
1212;CORP_CRED;0.0
1213;CORP_CRED;0.0003
1214;CORP_CRED;0.0014
1215;CORP_CRED;0.0
1216;CORP_CRED;0.0
1217;CORP_CRED;0.003
1218;CORP_CRED;0.0003
1219;CORP_CRED;0.0
1220;CORP_CRED;0.0003
1221;CORP_CRED;0.0
1222;CORP_CRED;0.0005
1223;CORP_CRED;0.0011
1224;CORP_CRED;0.0003
1225;CORP_CRED;0.0003
1226;CORP_CRED;0.0
1227;CORP_CRED;0.0233
1228;CORP_CRED;0.0014
1229;CORP_CRED;0.0014
1230;CORP_CRED;0.0424
1231;CORP_CRED;0.0005
1232;CORP_CRED;0.0044
1233;CORP_CRED;0.0003
1234;CORP_CRED;0.0011
1235;CORP_CRED;0.0
1236;CORP_CRED;0.0
1237;CORP_CRED;0.0041
1238;CORP_CRED;0.0011
1239;CORP_CRED;0.0126
1240;CORP_CRED;0.0005
1241;CORP_CRED;0.0003
1242;CORP_CRED;0.0025
1243;CORP_CRED;0.0
1244;CORP_CRED;0.0
1245;CORP_CRED;0.0003
1246;CORP_CRED;0.0005
1247;CORP_CRED;0.0003
1248;CORP_CRED;0.0
1249;CORP_CRED;0.0003
1250;CORP_CRED;0.0082
1251;CORP_CRED;0.0003
1252;CORP_CRED;0.0
1253;CORP_CRED;0.0003
1254;CORP_CRED;0.0003
1255;CORP_CRED;0.0016
1256;CORP_CRED;0.0
1257;CORP_CRED;0.0
1258;CORP_CRED;0.0003
1259;CORP_CRED;0.0
1260;CORP_CRED;0.0
1261;CORP_CRED;0.0005
1262;CORP_CRED;0.0005
1263;CORP_CRED;0.0
1264;CORP_CRED;0.0
1265;CORP_CRED;0.0
1266;CORP_CRED;0.0
1267;CORP_CRED;0.0
1268;CORP_CRED;0.0
1269;CORP_CRED;0.0
1270;CORP_CRED;0.0
1271;CORP_CRED;0.0
1272;CORP_CRED;0.0
1273;CORP_CRED;0.0019
1274;CORP_CRED;0.0003
1275;CORP_CRED;0.0
1276;CORP_CRED;0.0
1277;CORP_CRED;0.0
1278;CORP_CRED;0.0
1279;CORP_CRED;0.0
1280;CORP_CRED;0.0
1281;CORP_CRED;0.0066
1282;CORP_CRED;0.0
1283;CORP_CRED;0.0008
1284;CORP_CRED;0.0
1285;CORP_CRED;0.0
1286;CORP_CRED;0.0003
1287;CORP_CRED;0.0003
1288;CORP_CRED;0.0
1289;CORP_CRED;0.0
1290;CORP_CRED;0.0
1291;CORP_CRED;0.0
1292;CORP_CRED;0.0
1293;CORP_CRED;0.0
1294;CORP_CRED;0.0
1295;CORP_CRED;0.0
1296;CORP_CRED;0.0
1297;CORP_CRED;0.0003
1298;CORP_CRED;0.0
1299;CORP_CRED;0.0
1300;CORP_CRED;0.003
1301;CORP_CRED;0.0025
1302;CORP_CRED;0.0
1303;CORP_CRED;0.0
1304;CORP_CRED;0.0005
1305;CORP_CRED;0.0
1306;CORP_CRED;0.0
1307;CORP_CRED;0.0003
1308;CORP_CRED;0.0014
1309;CORP_CRED;0.0005
1310;CORP_CRED;0.0
1311;CORP_CRED;0.0
1312;CORP_CRED;0.0
1313;CORP_CRED;0.0
1314;CORP_CRED;0.0
1315;CORP_CRED;0.0
1316;CORP_CRED;0.0005
1317;CORP_CRED;0.0003
1318;CORP_CRED;0.0
1319;CORP_CRED;0.0019
1320;CORP_CRED;0.0003
1321;CORP_CRED;0.0036
1322;CORP_CRED;0.0
1323;CORP_CRED;0.0003
1324;CORP_CRED;0.0066
1325;CORP_CRED;0.0
1326;CORP_CRED;0.0
1327;CORP_CRED;0.0
1328;CORP_CRED;0.0005
1329;CORP_CRED;0.0
1330;CORP_CRED;0.0
1331;CORP_CRED;0.0
1332;CORP_CRED;0.0581
1333;CORP_CRED;0.0008
1334;CORP_CRED;0.0
1335;CORP_CRED;0.0
1336;CORP_CRED;0.0
1337;CORP_CRED;0.0
1338;CORP_CRED;0.0
1339;CORP_CRED;0.0003
1340;CORP_CRED;0.0003
1341;CORP_CRED;0.0003
1342;CORP_CRED;0.0
1343;CORP_CRED;0.0
1344;CORP_CRED;0.0
1345;CORP_CRED;0.0003
1346;CORP_CRED;0.0
1347;CORP_CRED;0.0044
1348;CORP_CRED;0.0003
1349;CORP_CRED;0.0003
1350;CORP_CRED;0.0
1351;CORP_CRED;0.0025
1352;CORP_CRED;0.0008
1353;CORP_CRED;0.0008
1354;CORP_CRED;0.0
1355;CORP_CRED;0.0003
1356;CORP_CRED;0.0
1357;CORP_CRED;0.0
1358;CORP_CRED;0.0008
1359;CORP_CRED;0.0005
1360;CORP_CRED;0.0
1361;CORP_CRED;0.0066
1362;CORP_CRED;0.0
1363;CORP_CRED;0.0
1364;CORP_CRED;0.0
1365;CORP_CRED;0.0014
1366;CORP_CRED;0.0115
1367;CORP_CRED;0.0
1368;CORP_CRED;0.0008
1369;CORP_CRED;0.0003
1370;CORP_CRED;0.0
1371;CORP_CRED;0.0003
1372;CORP_CRED;0.0
1373;CORP_CRED;0.0003
1374;CORP_CRED;0.0
1375;CORP_CRED;0.0
1376;CORP_CRED;0.0
1377;CORP_CRED;0.0
1378;CORP_CRED;0.0008
1379;CORP_CRED;0.0
1380;CORP_CRED;0.0
1381;CORP_CRED;0.0
1382;CORP_CRED;0.0
1383;CORP_CRED;0.0
1384;CORP_CRED;0.0
1385;CORP_CRED;0.0
1386;CORP_CRED;0.0
1387;CORP_CRED;0.0005
1388;CORP_CRED;0.0003
1389;CORP_CRED;0.0003
1390;CORP_CRED;0.0
1391;CORP_CRED;0.0003
1392;CORP_CRED;0.0
1393;CORP_CRED;0.0
1394;CORP_CRED;0.0348
1395;CORP_CRED;0.0005
1396;CORP_CRED;0.0008
1397;CORP_CRED;0.0011
1398;CORP_CRED;0.0
1399;CORP_CRED;0.0
1400;CORP_CRED;0.0
1401;CORP_CRED;0.006
1402;CORP_CRED;0.0003
1403;CORP_CRED;0.0
1404;CORP_CRED;0.0
1405;CORP_CRED;0.0
1406;CORP_CRED;0.0
1407;CORP_CRED;0.0
1408;CORP_CRED;0.0
1409;CORP_CRED;0.0049
1410;CORP_CRED;0.0003
1411;CORP_CRED;0.0
1412;CORP_CRED;0.0
1413;CORP_CRED;0.0011
1414;CORP_CRED;0.0025
1415;CORP_CRED;0.0
1416;CORP_CRED;0.0003
1417;CORP_CRED;0.0
1418;CORP_CRED;0.0
1419;CORP_CRED;0.0
1420;CORP_CRED;0.0
1421;CORP_CRED;0.0
1422;CORP_CRED;0.0
1423;CORP_CRED;0.0
1424;CORP_CRED;0.0003
1425;CORP_CRED;0.0
1426;CORP_CRED;0.0
1427;CORP_CRED;0.0
1428;CORP_CRED;0.0
1429;CORP_CRED;0.0
1430;CORP_CRED;0.0
1431;CORP_CRED;0.0
1432;CORP_CRED;0.0
1433;CORP_CRED;0.0
1434;CORP_CRED;0.0003
1435;CORP_CRED;0.0
1436;CORP_CRED;0.0
1437;CORP_CRED;0.0
1438;CORP_CRED;0.0044
1439;CORP_CRED;0.0003
1440;CORP_CRED;0.0
1441;CORP_CRED;0.0
1442;CORP_CRED;0.0
1443;CORP_CRED;0.0003
1444;CORP_CRED;0.0003
1445;CORP_CRED;0.0
1446;CORP_CRED;0.0
1447;CORP_CRED;0.0003
1448;CORP_CRED;0.0
1449;CORP_CRED;0.0
1450;CORP_CRED;0.0003
1451;CORP_CRED;0.0
1452;CORP_CRED;0.0
1453;CORP_CRED;0.0011
1454;CORP_CRED;0.0
1455;CORP_CRED;0.0
1456;CORP_CRED;0.0
1457;CORP_CRED;0.0
1458;CORP_CRED;0.0011
1459;CORP_CRED;0.0
1460;CORP_CRED;0.0003
1461;CORP_CRED;0.0
1462;CORP_CRED;0.0011
1463;CORP_CRED;0.0003
1464;CORP_CRED;0.0
1465;CORP_CRED;0.0016
1466;CORP_CRED;0.0
1467;CORP_CRED;0.0
1468;CORP_CRED;0.0
1469;CORP_CRED;0.0003
1470;CORP_CRED;0.0
1471;CORP_CRED;0.0
1472;CORP_CRED;0.0005
1473;CORP_CRED;0.0
1474;CORP_CRED;0.0
1475;CORP_CRED;0.0008
1476;CORP_CRED;0.014
1477;CORP_CRED;0.0
